polymer_type,natural_fiber,fiber_percentage,molecular_weight,moisture_content,ph,temperature,density,tensile_strength,elastic_modulus,flexural_strength,impact_strength,degradation_time,weight_loss,water_absorption,biodegradation_rate
PHBV,Rice Husk,12.40625387614513,88049.96608070095,13.41191297417934,6.8532004605587185,24.736355645361414,1.331,30.66,3.63,42.11,5.63,329.3,64.63,29.78,0.222
PLLA,Sisal,33.523826739943374,261448.30095704674,12.740337811736174,4.760009475193509,40.20419130036553,1.34,91.16,6.85,123.89,11.99,304.3,68.62,35.88,0.293
Cellulose,Wood Flour,47.2440692195841,329784.151364732,15.851914803582869,6.194736820969126,48.50195900005453,1.632,82.8,9.02,117.63,15.12,293.3,71.18,44.17,0.299
HA,Banana Fiber,14.036389117385976,32813.63617128274,14.208270396434989,5.909430515998234,46.08791933814603,1.113,26.25,2.95,39.39,5.21,230.1,83.14,31.23,0.428
Chitosan,Coir,46.42927462277003,260702.61557466432,3.4875671719003405,5.395791765042989,23.88482985418221,1.497,86.39,8.69,120.67,13.58,375.4,57.92,29.39,0.178
PLA,Rice Husk,46.84369800343689,176986.71859557033,16.817917154888484,5.74788507097356,20.49104389887669,1.378,47.54,7.5,76.31,12.21,272.1,73.32,46.05,0.358
HA,Nanocellulose,8.295965652675019,247675.58281059557,12.77113828996984,4.502096416281923,20.79316319789261,1.079,70.47,3.95,87.34,8.23,383.7,58.95,28.44,0.182
Collagen,Rice Husk,6.0331379347950005,223788.5675429729,3.597907776134837,5.796374173971637,36.64545242627871,1.33,64.86,4.54,83.96,6.9,401.6,53.79,14.8,0.175
PHBV,Flax,58.566447329350716,345092.95822582446,14.237566639312888,4.813633368945039,34.57692950318977,1.431,155.01,9.71,195.0,16.8,299.1,65.78,47.51,0.273
Starch,Kenaf,15.636046272435372,122420.9300153177,7.4138067406968755,8.185208690992564,20.401897871718322,1.462,55.97,4.63,73.92,6.89,371.6,56.94,22.14,0.213
HA,Kenaf,50.21765650050566,281565.75419816474,14.798635548602302,4.7973315201873845,21.713681971263373,1.21,103.11,8.3,147.09,14.73,313.5,65.16,45.1,0.243
Silk,Nanocellulose,35.901785917491424,105084.76426017957,17.264198059338582,8.312423550862697,49.992633813029926,1.424,105.35,6.08,143.97,9.22,203.2,91.95,40.21,0.538
PLA,Sugarcane Bagasse,19.545968664534826,169394.55281605534,5.71149359579734,6.465705338973855,48.94823705115611,1.319,59.98,5.03,80.6,8.46,327.6,63.53,23.41,0.229
Gelatin,Coir,12.148374014034692,342121.87966957176,15.647282260401003,6.55269262117317,23.801741385577007,1.325,71.02,5.58,93.92,10.39,417.6,54.41,31.19,0.117
Gelatin,Sugarcane Bagasse,32.317250046775015,275163.61472452886,14.263762607374986,7.652502954724506,24.922996875200422,1.382,69.29,6.91,97.1,12.26,361.6,57.16,37.86,0.176
PHA,Kenaf,27.40451463961974,131062.8020107389,12.574550853307707,7.281518850273809,47.00488578198987,1.342,59.43,5.11,81.48,8.32,263.3,74.47,33.31,0.332
Collagen,Hemp,43.43873468143873,228198.17058942397,7.8511889852550745,5.448244491556784,35.22318236598028,1.426,113.52,7.73,158.31,12.98,309.7,65.67,34.04,0.242
Cellulose,Wood Flour,54.72927022512497,45901.466720888,3.3127245748335885,4.601865396176251,48.739276389156714,1.659,56.91,8.3,87.16,10.67,190.0,94.49,31.85,0.625
HA,Nanocellulose,49.28864478298911,115246.3733187103,9.484297660678795,7.613796836618667,35.6101925209952,1.202,139.27,7.19,190.58,11.79,260.8,76.43,40.13,0.32
HA,Nanocellulose,20.094862761264654,259884.95667315664,3.2434993913285934,5.018971196896289,37.31672259127511,1.109,111.97,5.68,147.83,9.99,380.6,58.22,21.4,0.163
Cellulose,Bamboo,53.34132701487682,212429.94226826399,9.752429243492365,6.893476914094147,26.604076996536065,1.676,86.79,8.71,125.59,13.59,311.3,66.29,40.15,0.248
PHA,Bamboo,50.836522275753225,180295.31295256712,15.0348389677969,8.270527095751117,46.28227707248237,1.401,68.58,7.86,101.43,12.69,225.7,85.35,46.38,0.469
PBS,Flax,56.10249285469725,251080.3392051082,17.96102921761589,6.6977739595687975,44.75007834530237,1.449,130.26,8.76,181.19,14.15,239.7,80.01,48.0,0.409
PBS,Flax,30.226345157089323,157506.84506234434,4.767143739636298,5.6422930343111055,30.122692794843584,1.368,96.59,6.19,127.44,9.67,333.8,63.6,25.64,0.236
PHA,Bamboo,47.271634482516916,38369.96625037219,4.929657698725871,5.215208489256013,38.37119070691993,1.382,57.06,6.8,90.22,9.76,232.1,82.56,33.05,0.402
PBS,Sugarcane Bagasse,37.54119360380187,171128.51952498153,14.87957497666464,4.607799643472921,30.24327034620164,1.349,53.47,6.24,78.7,11.05,266.1,74.45,39.78,0.329
PGA,Kenaf,22.077651390221583,318681.3415338437,9.239467432903965,6.992979768547759,33.919048365657474,1.613,93.27,6.51,122.86,11.16,407.3,53.36,25.57,0.173
HA,Jute,59.693705139851986,304116.8410605188,16.610775834526052,6.73199627604545,45.60653701209233,1.254,105.18,9.27,152.99,16.61,266.1,76.56,48.0,0.355
PCL,Nanocellulose,7.106910676181375,160879.09933104413,14.188437920090037,6.346903661645403,32.462661042625825,1.155,51.68,3.27,68.54,7.03,340.2,62.63,27.39,0.196
PLGA,Hemp,13.924991490749107,37110.86104332246,13.651058118048171,5.275085716270004,45.21696827375119,1.35,37.4,3.38,51.51,4.92,233.9,83.48,29.63,0.411
Cellulose,Nanocellulose,54.089829939254216,233618.32723850102,3.1822361928018372,5.446527466542204,48.80375747322056,1.681,160.0,9.57,195.0,14.05,282.0,71.25,33.0,0.289
Silk,Sisal,8.330956387694844,267182.2168905167,2.091946825372486,8.334116012078928,32.49032199038949,1.326,83.03,5.04,106.59,8.69,433.7,50.36,13.67,0.159
PGA,Coir,53.77513670389369,124157.94434696795,6.726586524387713,4.581616353398139,46.32595848721183,1.722,63.88,8.64,98.8,11.54,216.1,87.7,38.04,0.483
Chitosan,Wood Flour,44.33718118320105,182532.47987826378,5.0854229540077345,5.953738659851271,29.119500461209885,1.476,71.56,8.0,104.42,11.37,327.6,62.88,32.66,0.231
PGA,Jute,7.0176202966998265,347394.1744792667,13.253096617820468,4.655250019961766,20.085931349074993,1.583,80.32,5.72,103.15,9.41,441.2,51.94,23.18,0.154
PCL,Hemp,28.61260235697971,214429.76415411156,8.937106448739833,5.266277356585862,22.534742454681528,1.241,88.82,6.26,120.79,10.47,361.8,56.83,31.37,0.22
Chitosan,Sisal,46.49593112512304,142343.96981170133,10.131915181377163,8.23254514704326,42.1130392117051,1.496,89.48,7.44,124.08,11.2,245.0,78.11,37.68,0.38
Silk,Flax,37.070515654693985,230796.4405248426,14.926734467386332,5.098251105330414,23.005454472354366,1.475,104.76,7.27,141.09,11.76,320.2,64.94,40.05,0.246
PCL,Hemp,56.47292105804519,87607.13819650703,9.395327249134205,6.903141233811847,48.17479507059092,1.316,105.81,7.63,151.2,11.51,202.7,92.89,41.61,0.515
PLLA,Sugarcane Bagasse,52.72042181015999,93760.7594478656,10.491284293289086,5.8877802953388265,45.997387493193884,1.444,54.26,7.77,85.44,11.1,205.1,90.83,41.35,0.548
PLGA,Bamboo,23.29561994337803,325975.9087084854,15.398284395732365,7.03219248937383,35.44553077765635,1.385,78.34,6.28,105.23,11.7,366.4,57.51,33.87,0.208
Silk,Nanocellulose,9.65449575360497,106544.01317418582,8.617040853573961,7.908571434156567,37.445301493029184,1.35,58.34,3.8,75.31,5.72,324.3,65.01,20.81,0.244
HA,Hemp,56.934137180510824,129452.60134903812,2.8715906805743834,5.646177641495518,40.83044254956378,1.2,120.14,8.2,168.5,12.68,256.0,76.24,35.71,0.398
PBS,Coir,33.45077222723596,204008.71743032124,10.108135958284212,4.814492528537896,41.9451814435008,1.388,62.2,6.65,87.57,10.85,288.3,72.66,34.07,0.335
PLLA,Rice Husk,9.091869340457169,317901.638488834,11.059467789841984,5.316719565452872,34.736200632744,1.29,71.24,5.13,90.82,9.7,395.4,54.04,23.26,0.172
Collagen,Flax,49.91165873476037,280063.6447100846,9.944647271164385,6.256360853894165,29.402004005985788,1.483,140.8,8.85,192.68,14.41,335.5,62.09,38.64,0.247
Silk,Banana Fiber,52.76785588769651,44010.85461435997,5.757817034098937,6.560255448198716,47.30719865408149,1.498,64.62,7.52,96.3,10.76,207.7,89.44,35.74,0.482
Collagen,Wood Flour,40.1683552097114,251769.49404747816,5.1908861261601125,8.267581088311909,21.397057124209415,1.451,83.14,7.84,115.76,12.26,387.3,57.09,28.7,0.136
Chitosan,Sugarcane Bagasse,29.612993112748693,191299.6744588777,7.6009801368753855,4.5644079133147475,30.68252809362928,1.454,67.41,6.36,93.28,9.71,324.5,65.17,29.49,0.213
PLLA,Wood Flour,41.4195156777965,182176.90944076178,4.242774185310717,7.530508292439947,39.99517331094007,1.383,71.02,7.41,102.47,11.52,318.0,67.24,29.39,0.234
PLGA,Hemp,43.867603263781795,251298.67738417382,12.489390708018275,4.790038943394723,46.73214438970027,1.462,113.68,7.97,156.82,13.25,265.5,75.54,41.12,0.317
HA,Rice Husk,54.116647694728236,92794.25479009411,11.642135871114132,4.811688421308158,22.226725009789288,1.237,40.28,7.27,72.5,11.47,243.0,80.07,42.53,0.37
PHA,Nanocellulose,57.57239242061059,344076.37237175036,11.934527658699931,7.116529167119223,39.76863088776525,1.414,160.0,9.69,195.0,16.64,320.6,65.14,44.33,0.248
HA,Banana Fiber,33.287651281500125,236498.08968718367,5.209158636809031,8.13573022670407,34.61231165746457,1.141,83.13,6.64,116.73,11.45,362.0,59.62,28.85,0.197
PCL,Sugarcane Bagasse,48.91719934396094,147009.97587579396,5.567728734364087,5.650785336580602,40.59466721592593,1.265,68.2,7.7,99.1,12.36,261.8,76.43,34.43,0.354
HA,Sisal,58.04802557954102,222064.7065824516,14.491939275459378,5.5772247156617265,29.51607659495553,1.261,104.91,8.5,156.0,14.7,270.7,72.24,47.53,0.33
Starch,Jute,13.31838359808313,99270.67625267849,12.886844247215503,6.9708472951437574,41.32103846280688,1.454,43.58,4.11,59.77,5.87,287.7,70.01,26.42,0.32
Alginate,Nanocellulose,6.0047389885322175,232829.39675358598,15.94046751126443,7.605123323454262,25.407851055508623,1.429,63.37,4.19,77.65,7.23,389.0,57.04,27.11,0.182
PHA,Sisal,52.79300750665617,39029.48503609515,8.157844343317123,7.9758364788999785,43.26198714537838,1.4,77.75,7.54,113.87,10.35,215.6,86.04,38.91,0.465
PGA,Jute,15.740033328593842,139178.21165067717,10.53090922961292,5.4988245943399185,42.480477940384645,1.585,55.11,5.08,72.9,6.88,302.4,69.91,24.79,0.259
PBS,Rice Husk,7.336332164749052,269205.406959202,13.689832147851822,7.46079671640432,48.403599889512044,1.298,58.55,4.35,72.36,8.19,360.9,59.09,26.72,0.155
PLA,Jute,13.805287571159452,288552.91171652474,17.573556989037183,5.72884836197653,25.196717388256012,1.316,65.72,5.0,87.04,9.51,372.8,58.31,34.48,0.182
PLGA,Nanocellulose,26.12632011840731,110934.21226046978,17.82892491195398,6.679247681160901,41.65995561307727,1.399,83.11,5.01,112.06,8.36,249.2,79.5,39.32,0.355
PLLA,Sugarcane Bagasse,17.059613587591905,202611.02760959568,17.98639430589163,5.263409885176336,29.679501333113617,1.283,44.22,4.55,61.52,8.74,319.1,63.7,36.57,0.246
Alginate,Coir,21.78894960052437,199117.72470051775,16.193686970569306,5.084008096332295,28.455705074299246,1.48,50.24,5.38,69.98,8.7,317.5,66.55,34.81,0.258
PLGA,Hemp,58.64117282865255,164865.93484056974,12.054238515761787,8.24121420053535,32.04786837177505,1.514,117.33,8.89,164.2,13.72,257.9,75.08,44.94,0.341
PLLA,Sisal,43.74230492894163,103098.55448095313,1.6150206880259705,6.688797001618244,28.556046887216205,1.385,90.85,6.9,131.58,10.26,314.7,64.91,26.51,0.278
PBS,Coir,44.17054505392622,255033.0346332073,13.042472094082976,4.518358187972221,27.4458056199246,1.418,69.33,7.89,99.43,13.57,304.8,67.38,40.31,0.271
PHBV,Sisal,10.207695610035756,110755.7381585663,5.436892016259529,7.673746176458511,43.05155729051056,1.291,54.78,3.97,69.68,5.69,326.1,64.24,18.16,0.254
PHBV,Sugarcane Bagasse,45.265410340248046,321528.235890117,2.443257930619022,7.263480528125435,40.98510516301857,1.427,99.46,9.1,141.53,14.93,378.7,57.22,29.03,0.168
Collagen,Hemp,45.66393831254177,199120.41315792085,13.003543077594745,5.8035312183099865,23.28075489184259,1.457,104.91,7.83,145.5,11.95,299.3,67.16,41.08,0.243
PLGA,Kenaf,41.28597601236477,308553.067939399,13.97418029840719,6.355857129969293,36.80544278810943,1.386,100.47,7.75,136.87,13.67,335.8,63.01,41.68,0.21
PHBV,Jute,17.563996279883128,123037.67065733246,12.380646482767869,6.299517989250463,29.930079628037923,1.322,50.18,4.48,62.53,6.7,320.7,64.52,30.26,0.209
Starch,Rice Husk,28.266989849520172,288265.3300027943,7.525301432968229,5.599078780834098,49.131039274946644,1.526,78.89,7.36,108.57,11.03,330.7,64.3,26.35,0.221
PHA,Kenaf,51.54520500682939,66372.3471679976,9.931568047305534,8.42222816038938,32.751282943154955,1.416,76.74,7.23,110.88,10.62,239.8,80.39,40.15,0.383
PLLA,Kenaf,41.86108961373445,275385.7094423659,16.926635845429832,6.675540330919555,21.21721029729209,1.384,92.6,7.54,127.72,12.99,335.6,62.44,44.9,0.225
Collagen,Wood Flour,45.30228592499463,153822.6719760967,13.538580938619546,8.089117763810677,29.951483722429447,1.472,55.6,7.35,85.52,11.3,272.0,73.84,40.49,0.331
HA,Bamboo,37.30559200691949,180396.82842194778,9.827289852739042,6.841421542646972,29.381232145682972,1.132,64.56,6.42,90.63,11.44,318.5,66.4,35.77,0.252
PLLA,Nanocellulose,29.727262951147814,83378.34248306329,11.291911007192692,7.260732494274023,20.16904266191566,1.345,91.5,5.45,121.17,8.18,318.9,65.84,34.26,0.25
Collagen,Coir,46.74786055369095,35960.860327805545,16.806779372714878,4.618169773908348,34.63346879265163,1.443,29.32,6.44,56.19,9.58,179.8,98.0,46.44,0.654
PBS,Coir,8.735919790146774,243183.19780105012,7.9974116174496785,6.547274197577549,47.173884019991306,1.251,61.77,4.66,79.25,7.7,368.3,59.8,19.91,0.216
PLGA,Coir,42.02384030291453,218069.85068813383,3.1804213055204897,7.385107131552957,44.06939722139772,1.444,78.4,7.83,112.07,12.38,323.4,65.3,29.0,0.244
PBS,Sugarcane Bagasse,59.84624793178735,229177.00866229038,6.876132988100678,4.9874521529521285,40.53960356859952,1.449,83.59,9.26,123.46,14.74,268.5,71.28,39.77,0.3
PHA,Coir,47.91055612074174,111600.56256861435,8.350803543148725,7.213299850139407,30.306041029980932,1.388,53.53,7.38,84.55,10.9,283.2,72.35,36.45,0.275
Cellulose,Sugarcane Bagasse,20.98099313676004,106568.78812259393,6.003903852698056,4.837088907733332,26.958911969085545,1.553,53.04,5.28,76.11,7.15,330.9,64.97,22.93,0.223
PHA,Nanocellulose,20.280072208795932,295694.81960615923,10.22804468662583,7.7280916712353385,30.27849569236469,1.283,108.53,5.9,141.29,10.53,392.3,58.12,28.8,0.178
Alginate,Kenaf,41.69702358264024,273600.8808298346,6.530154939910275,8.4111353607051,23.691780318319765,1.522,106.17,8.35,146.72,12.81,371.0,58.29,30.69,0.157
PBS,Nanocellulose,54.27198413546917,137772.8370692354,3.2024631588093126,7.006938404717011,22.98465462689463,1.435,160.0,8.38,195.0,12.08,315.9,68.62,33.66,0.239
PCL,Coir,36.78723574663136,234097.8291122177,4.603130474499837,4.808311571132764,37.23598240044522,1.239,77.08,7.22,106.4,12.14,336.4,62.38,29.41,0.197
HA,Bamboo,34.00712579435321,295008.00133402046,16.649575376481796,6.847013797993724,44.419816675503895,1.176,73.3,6.9,102.18,12.28,310.7,66.96,40.58,0.255
Silk,Flax,13.821127361401924,314425.4215097436,11.888327880164194,7.4634523191903295,22.98172371964935,1.342,88.22,5.57,114.94,9.81,435.7,50.33,27.27,0.128
PBS,Hemp,44.350132544789915,31858.003490957642,6.686093760590332,8.232383984899101,30.05561304394503,1.353,83.94,6.57,120.73,9.07,259.1,74.4,32.63,0.333
Alginate,Coir,43.62642408008399,290307.9658031118,7.554145556257259,4.681834767220883,23.682622750233328,1.532,85.94,8.25,123.1,13.61,369.8,59.07,33.44,0.185
Chitosan,Rice Husk,58.18232657836162,142125.54695901627,9.640822328248914,7.600169235250924,29.314421814552908,1.538,56.15,8.78,87.92,13.5,270.0,72.72,41.75,0.304
Cellulose,Flax,21.51057013681154,259881.0511283765,12.606645553784634,5.030326827614299,44.90790032296851,1.575,91.05,6.21,118.33,9.68,315.5,65.03,28.62,0.235
Starch,Nanocellulose,46.60450120021425,148848.43667199987,11.105968182422204,7.662345508917243,21.045403303728694,1.534,144.07,7.6,195.0,11.63,309.4,66.4,38.04,0.253
PLLA,Rice Husk,28.873589365869595,223999.70777408476,16.88951905528853,8.05484114349034,39.416409322339035,1.342,52.22,5.8,75.18,10.42,286.9,70.85,38.38,0.301
PHA,Rice Husk,35.71600353888742,236970.38080192596,11.824855638443106,7.944971325732098,21.795097856034896,1.363,62.73,7.02,89.2,11.93,351.2,60.07,36.24,0.186
Chitosan,Sisal,49.9049620580307,159597.68669319234,16.528067663481536,7.11149262982956,32.7963772898403,1.516,86.89,7.67,121.38,12.14,254.7,76.95,46.59,0.324
Alginate,Rice Husk,17.20972747604366,194091.30596407835,1.5895976262153284,6.503062515201242,34.22158456035052,1.414,65.75,5.33,87.48,8.74,395.1,55.27,16.82,0.172
Collagen,Coir,23.85778067400782,262420.27901413385,16.194231286712117,7.998346849602884,32.045301154344585,1.391,59.98,6.14,84.36,10.28,345.1,62.86,36.04,0.195
Silk,Sisal,47.531976860867836,182417.68598235588,13.404066701439731,6.576285041014469,39.12156420289518,1.479,93.01,7.73,133.11,11.84,266.8,73.81,41.42,0.318
HA,Wood Flour,36.37518534083235,34473.75522725331,4.341191992849419,5.260444511909967,49.20990155639225,1.138,42.55,5.31,67.49,8.27,227.4,83.72,28.06,0.457
HA,Kenaf,10.08326042977886,34129.34303920505,5.8401273175433435,8.27133212841694,28.01899412929821,1.085,35.21,2.93,48.72,4.61,328.5,62.0,19.61,0.225
HA,Rice Husk,28.660222672818215,241619.47201580595,10.456364986204045,5.993162639507654,38.2930709127061,1.121,64.03,5.95,87.79,11.27,329.2,65.11,33.15,0.261
Starch,Bamboo,37.2648322135159,301116.0119857914,3.5614795632839575,6.997396112633739,30.649356454854317,1.546,101.02,8.34,139.27,12.76,393.1,55.18,27.04,0.164
Silk,Banana Fiber,55.023452404477894,281287.53200447885,14.458576440348754,5.296583231976761,49.98502022629056,1.519,93.34,9.22,135.85,14.98,242.9,79.11,47.5,0.349
Starch,Hemp,15.366842746625126,129328.09661861231,14.55436879267004,4.942158543966244,48.529904213893275,1.446,52.94,4.5,73.14,6.58,254.4,76.69,30.56,0.373
PHA,Rice Husk,49.32741326076156,180760.92319902542,6.465658312808848,6.704153800875129,22.80208616014262,1.378,65.65,7.8,101.57,12.69,337.5,61.49,35.42,0.202
Starch,Sugarcane Bagasse,12.184346569212526,104931.43683253344,2.6519805820511335,6.718378199334136,49.20787958811363,1.48,50.95,4.57,65.51,5.86,321.2,63.46,14.24,0.23
PLA,Wood Flour,18.322961304169397,346527.97141333524,17.81598307735398,5.97896935800479,42.148140594919454,1.313,69.65,5.99,91.37,11.33,344.5,59.33,35.18,0.194
Silk,Jute,18.38391359195677,113362.06376327421,5.63702650753136,5.746954130566873,49.7703407092697,1.394,58.54,4.75,78.41,6.96,283.2,72.83,20.8,0.277
PCL,Sugarcane Bagasse,53.261355774985795,163203.7097117973,2.6147177467361935,5.99669395013974,43.12851979429185,1.277,76.57,8.3,114.53,13.35,272.6,72.86,32.41,0.303
Silk,Nanocellulose,15.94597306082429,247961.26442377703,6.94442182982867,7.680582399450007,23.868006210760917,1.386,96.99,5.32,123.42,9.08,422.4,52.46,20.65,0.145
Alginate,Banana Fiber,48.2828399841975,310325.65428824833,17.488553825875837,5.930939167700933,42.514062335055634,1.546,92.4,8.84,129.32,14.65,273.3,73.9,47.18,0.342
PLA,Nanocellulose,30.399359371079093,46472.21890148369,14.583305610407917,8.185490694620679,41.79882847345938,1.359,87.06,4.87,124.82,7.33,217.7,86.87,37.02,0.47
HA,Wood Flour,59.94999222885209,126326.29632867886,9.425495816867366,4.95184987116432,25.00207329954653,1.243,59.29,8.33,93.66,13.2,248.2,78.16,44.77,0.362
Alginate,Jute,51.150032425865795,212075.47134862732,6.537951958473724,8.226305179223655,42.595183732191,1.55,100.94,8.64,142.68,12.96,293.0,69.05,35.34,0.264
Alginate,Nanocellulose,45.68367239462999,227860.1860403787,8.484550626033233,7.25819202215221,40.24317792102435,1.524,159.2,8.18,195.0,12.43,311.4,66.52,35.84,0.264
PHA,Nanocellulose,52.889946865870755,52408.78031995546,1.7865325358055955,5.877403701949641,49.833320019554606,1.424,152.63,7.6,195.0,10.37,223.6,85.97,32.19,0.467
Gelatin,Nanocellulose,39.871671593276844,242505.19610946346,13.353112943782042,4.5274208931053055,38.562187101020356,1.399,137.5,7.47,181.86,12.38,282.6,70.65,39.12,0.319
PGA,Wood Flour,51.40087410906737,198980.59699474377,3.144130480605413,7.709726488045737,32.43828822429813,1.652,82.08,8.97,121.19,12.74,336.3,62.37,31.39,0.201
PLA,Banana Fiber,19.36197660488007,294840.76139588625,10.064120018426069,8.377309851886324,48.61745133022716,1.291,77.96,5.66,104.88,9.98,356.7,60.84,26.87,0.158
Alginate,Kenaf,10.373676610559121,101100.53638665623,10.8364433722324,8.429757443651747,38.835245978273214,1.448,42.84,3.91,55.51,5.84,301.4,69.08,22.92,0.288
PGA,Hemp,38.87626038976678,92408.63520700035,1.5278812759878493,6.193620840947398,30.458963299292467,1.61,97.44,7.1,134.75,9.14,314.4,66.01,24.47,0.247
PGA,Wood Flour,28.90797159649723,283867.91101694584,17.667997328627617,4.782017582147816,20.6313700559739,1.598,67.05,6.74,95.91,11.87,342.2,62.86,38.65,0.208
PLA,Jute,28.454243741083758,255238.1212606772,6.485294121866629,5.755015142968974,42.69918705271538,1.357,89.65,6.66,120.95,11.1,342.1,60.67,26.55,0.195
Gelatin,Rice Husk,33.97113188365254,283335.4753848559,2.774200141369911,5.738960920053728,23.58578545602584,1.354,79.93,7.54,110.12,12.41,406.8,53.64,24.69,0.153
Chitosan,Kenaf,24.87604363610484,280218.92512898543,15.597411211281589,4.909524967773586,47.710081470138505,1.391,76.55,5.97,100.5,10.82,299.3,68.38,34.9,0.266
Collagen,Kenaf,39.433274229355604,63280.21626574742,4.007217966847197,6.5988663902662985,48.84175020482922,1.423,74.18,6.32,109.25,8.72,246.9,77.07,27.21,0.347
PCL,Rice Husk,6.681260204119646,119146.57513572827,1.9117597477040607,6.918313913937514,27.09264045472829,1.146,46.62,3.52,58.26,5.52,391.9,55.11,13.91,0.152
Collagen,Bamboo,58.34402380349698,113227.24356366284,9.662396213282804,7.415276313222384,23.384161287610894,1.484,67.73,8.46,105.79,12.88,269.1,73.94,42.17,0.306
